02/10/20,Kerala,706790,643993,5900,,33060769,27686912,511990,,,,
02/10/20,Kerala,10220,7183,18,,33070989,27694095,512008,,,,
02/10/20,Kerala,183812,148960,721,,33254801,27843055,512729,,,,
02/10/20,Kerala,185707,172364,910,,33440508,28015419,513639,,,,
02/10/20,Kerala,12212,10162,169,,33452720,28025581,513808,,,,
02/10/20,Kerala,118790,88095,1002,,33571510,28113676,514810,,,,
02/10/20,Kerala,285672,253784,5438,,33857182,28367460,520248,,,,
02/10/20,Kerala,3063,2933,2,,33860245,28370393,520250,,,,
02/10/20,Kerala,34455,29004,442,,33894700,28399397,520692,,,,
02/10/20,Kerala,140055,119915,3478,,34034755,28519312,524170,,,,
02/10/20,Kerala,15454,11976,197,,34050209,28531288,524367,,,,
02/10/20,Kerala,131388,116716,1425,,34181597,28648004,525792,,,,
02/10/20,Kerala,85400,73428,729,,34266997,28721432,526521,,,,
02/10/20,Kerala,77253,59952,1212,,34344250,28781384,527733,,,,
02/10/20,Kerala,620630,499506,9119,,34964880,29280890,536852,,,,
02/10/20,Kerala,213500,135144,792,,35178380,29416034,537644,,,,
02/10/20,Kerala,4429,3274,61,,35182809,29419308,537705,,,,
02/10/20,Kerala,1416513,1117720,37480,,36599322,30537028,575185,,,,
02/10/20,Kerala,6033,4226,52,,36605355,30541254,575237,,,,
02/10/20,Kerala,11399,8992,69,,36616754,30550246,575306,,,,
02/10/20,Kerala,132107,109611,2372,,36748861,30659857,577678,,,,
02/10/20,Kerala,2049,1736,0,,36750910,30661593,577678,,,,
02/10/20,Kerala,6318,5166,12,,36757228,30666759,577690,,,,
02/10/20,Kerala,226334,194128,928,,36983562,30860887,578618,,,,
02/10/20,Kerala,116213,97777,3501,,37099775,30958664,582119,,,,
02/10/20,Kerala,28534,22948,532,,37128309,30981612,582651,,,,
02/10/20,Kerala,139696,117238,1516,,37268005,31098850,584167,,,,
02/10/20,Kerala,3011,2328,41,,37271016,31101178,584208,,,,
02/10/20,Kerala,195609,165844,1145,,37466625,31267022,585353,,,,
02/10/20,Kerala,608885,552938,9653,,38075510,31819960,595006,,,,
02/10/20,Kerala,26359,20573,283,,38101869,31840533,595289,,,,
02/10/20,Kerala,6471936,5425086,100875,,44573805,37265619,696164,,,,
02/10/20,Kerala,406995,351966,5917,,44980800,37617585,702081,,,,
02/10/20,Kerala,49559,40176,636,,45030359,37657761,702717,,,,
03/10/20,Kerala,263634,231699,5070,,45293993,37889460,707787,,,,
03/10/20,Kerala,3868,3642,53,,45297861,37893102,707840,,,,
03/10/20,Kerala,713014,651791,5941,,46010875,38544893,713781,,,,
03/10/20,Kerala,10421,7388,18,,46021296,38552281,713799,,,,
03/10/20,Kerala,185444,150773,735,,46206740,38703054,714534,,,,
03/10/20,Kerala,186690,173795,912,,46393430,38876849,715446,,,,
03/10/20,Kerala,12360,10396,172,,46405790,38887245,715618,,,,
03/10/20,Kerala,121400,91077,1031,,46527190,38978322,716649,,,,
03/10/20,Kerala,287930,257224,5472,,46815120,39235546,722121,,,,
03/10/20,Kerala,3070,2941,2,,46818190,39238487,722123,,,,
03/10/20,Kerala,34900,29527,450,,46853090,39268014,722573,,,,
03/10/20,Kerala,141398,121219,3490,,46994488,39389233,726063,,,,
03/10/20,Kerala,15695,12173,205,,47010183,39401406,726268,,,,
03/10/20,Kerala,132576,118258,1450,,47142759,39519664,727718,,,,
03/10/20,Kerala,86277,74604,734,,47229036,39594268,728452,,,,
03/10/20,Kerala,78228,61351,1231,,47307264,39655619,729683,,,,
03/10/20,Kerala,630516,508495,9219,,47937780,40164114,738902,,,,
03/10/20,Kerala,221334,139620,814,,48159114,40303734,739716,,,,
03/10/20,Kerala,4477,3315,61,,48163591,40307049,739777,,,,
03/10/20,Kerala,1430861,1134555,37758,,49594452,41441604,777535,,,,
03/10/20,Kerala,6456,4319,54,,49600908,41445923,777589,,,,
03/10/20,Kerala,11651,9081,71,,49612559,41455004,777660,,,,
03/10/20,Kerala,133918,111712,2399,,49746477,41566716,780059,,,,
03/10/20,Kerala,2103,1772,0,,49748580,41568488,780059,,,,
03/10/20,Kerala,6429,5212,12,,49755009,41573700,780071,,,,
03/10/20,Kerala,229387,198194,945,,49984396,41771894,781016,,,,
03/10/20,Kerala,117319,99468,3562,,50101715,41871362,784578,,,,
03/10/20,Kerala,28752,23344,534,,50130467,41894706,785112,,,,
03/10/20,Kerala,141846,119241,1530,,50272313,42013947,786642,,,,
03/10/20,Kerala,3050,2367,43,,50275363,42016314,786685,,,,
03/10/20,Kerala,197327,167846,1153,,50472690,42184160,787838,,,,
03/10/20,Kerala,614507,558534,9718,,51087197,42742694,797556,,,,
03/10/20,Kerala,26549,20874,286,,51113746,42763568,797842,,,,
03/10/20,Kerala,6547415,5506741,101812,,57661161,48270309,899654,,,,
03/10/20,Kerala,410626,356826,5977,,58071787,48627135,905631,,,,
03/10/20,Kerala,50062,41095,648,,58121849,48668230,906279,,,,
04/10/20,Kerala,266974,234712,5132,,58388823,48902942,911411,,,,
